id,title,author,type,status,physically,description,notes_location,cover,user_id
0bae1a6c-faa0-4566-90c4-afdf13f9f968,El monje que vendio su ferrari,Sharman Robino,kaisen,read,true,libro sobre como ver la vida de manera distinta,,https://www.tematika.com/media/catalog/Ilhsa/Imagenes/508491.jpg,29dede04-23c6-45eb-b666-2dada15d9dd0
1f5e51a4-3bfe-4deb-991c-584a2a75f1b7,Elon Musk,Walter Isaascson,bibliography,read,true,excelente libro que cuenta la carrea de Elon Musk en multiples empresas,,https://http2.mlstatic.com/D_NQ_NP_2X_615418-MLU71678823431_092023-F.webp,29dede04-23c6-45eb-b666-2dada15d9dd0
